login,followers,created_at,location
ZhangHanDong,1418,2008-10-07T08:25:12Z,"Beijing, China"
lyhue1991,1412,2017-08-03T01:35:08Z,Beijing China
ConardLi,1409,2017-08-04T00:36:53Z,BeiJing
lijin-THU,1401,2014-04-08T07:56:56Z,"Beijing, China"
youngsoft,1392,2013-12-25T06:53:44Z,Beijing China
HanXiaoyang,1381,2015-02-09T15:20:35Z,"Beijing, China"
drmingdrmer,1367,2009-01-04T09:25:00Z,Beijing China
zhanxiaokai,1361,2013-10-30T15:04:24Z,Beijing China
netxfly,1356,2012-09-13T06:09:18Z,beijing
huandu,1354,2010-04-08T18:29:13Z,"Beijing, China"
gavinkwoe,1352,2011-06-26T12:54:30Z,"Beijing, china"
ZhaoKaiQiang,1350,2014-06-10T08:54:58Z,BeiJing China
Charmve,1331,2017-05-31T03:19:16Z,"Suzhou, Beijing, Shanghai, Hongkong"
nwind,1320,2008-04-12T07:27:55Z,Beijing
ShowMeAI-Hub,1311,2021-05-03T07:47:27Z,"BeiJing, China"
cyndibaby905,1304,2011-05-25T04:33:40Z,"Beijing, China"
zema1,1277,2016-07-25T08:19:35Z,Beijing CN
xiaoweiruby,1268,2015-11-03T07:25:34Z,"beijing,China"
cystanford,1268,2018-01-28T02:00:09Z,Beijing
ChenChenJoke,1256,2012-09-18T08:20:51Z,BEIJING
whyour,1255,2016-10-08T06:15:45Z,"Beijing, China"
sunfusheng,1251,2014-07-11T01:38:27Z,"Beijing, China"
zxh0,1237,2013-09-21T12:43:20Z,Beijing
danpovey,1228,2013-01-17T18:19:13Z,Beijing
wangrunji0408,1223,2015-10-16T13:47:25Z,"Beijing, China"
lipengzhou,1223,2016-10-31T09:08:55Z,"Beijing, China"
chaitin,1205,2014-04-15T13:15:26Z,Beijing
reeze,1202,2008-06-23T04:37:45Z,"Beijing, China"
Sophia-11,1186,2019-03-03T07:50:39Z,Beijing
DianQK,1179,2015-02-03T12:15:24Z,"Beijing, China"
pezy,1172,2011-10-24T05:39:08Z,"Beijing, China"
neil3d,1171,2013-04-22T01:56:38Z,Beijing
huxiaoman7,1155,2016-05-23T07:28:42Z,"Beijing, China"
anjoy8,1150,2017-05-25T03:09:21Z,Beijing China
aa65535,1146,2013-09-09T12:02:53Z,"Beijing, China"
welefen,1144,2008-12-17T07:03:32Z,"Beijing, China"
vincent4j,1139,2011-05-25T02:57:50Z,"Beijing, China"
MiCode,1137,2011-12-20T06:22:09Z,"Beijing, China"
Naituw,1128,2010-08-04T12:00:13Z,"Beijing, China"
zxlie,1125,2011-06-22T01:41:26Z,Beijing
tuna,1119,2014-10-21T19:36:14Z,"Beijing, China"
tristaZero,1116,2017-04-19T04:47:03Z,"Beijing, China"
msnh2012,1114,2016-03-15T02:17:48Z,"Beijing,China"
chemzqm,1112,2010-04-24T14:05:55Z,"Beijing, China"
Meituan-Dianping,1108,2016-07-01T07:03:36Z,"Beijing, China"
wfnuser,1092,2014-07-17T13:35:14Z,"Beijing, China"
francistao,1083,2015-07-18T13:02:09Z,Beijing
mxdldev,1066,2014-03-24T00:53:16Z,"Beijing,China"
bsspirit,1066,2009-12-21T00:22:11Z,Beijing
tao12345666333,1065,2013-01-14T10:57:34Z,"Beijing, China"
JerryLead,1061,2012-05-09T06:04:18Z,Beijing
fuergaosi233,1061,2016-09-14T14:21:02Z,Beijing
youkaichao,1053,2016-11-03T11:27:18Z,"Beijing, China"
triaquae,1052,2012-10-29T05:35:47Z,"Beijing, China"
guobinhit,1035,2017-03-24T02:54:40Z,"Beijing, China"
henrymorgen,1033,2015-04-18T01:02:43Z,"Beijing, China"
the5fire,1031,2011-11-04T02:37:38Z,"Beijing, China"
imDazui,1029,2009-02-10T09:31:41Z,Beijing
maotoumao,1028,2017-09-05T11:31:05Z,"Beijing, China"
githubhaohao,1026,2016-03-18T11:51:56Z,"Beijing, China"
ysc,1016,2012-04-08T20:55:42Z,"Beijing, China"
GeekZooStudio,1005,2013-11-08T08:36:16Z,"Beijing, China"
lijiarui,1004,2014-01-16T12:31:18Z,beijing
coocood,1000,2011-07-03T04:32:17Z,"Beijing, China"
ouuan,999,2017-07-31T01:31:23Z,"Beijing, China"
johnil,987,2011-08-04T04:31:50Z,Beijing
wyzxxz,985,2015-01-06T05:41:28Z,BEIJING
mozillazg,984,2010-11-17T06:52:01Z,"Beijing, China"
sunng87,978,2010-03-13T15:06:48Z,"Beijing / Sunnyvale, CA"
renzifeng,969,2015-01-03T02:08:53Z,"BeiJing,China"
ZhongTaoTian,959,2015-05-13T00:58:26Z,"BeiJing,China"
lxfater,959,2016-10-12T13:38:40Z,Beijing
EryouHao,956,2016-02-19T03:43:27Z,Beijing China
yipianfengye,954,2014-01-08T07:40:05Z,China BeiJing
HuangCongQing,954,2016-07-27T05:20:01Z,"Beijing, China"
guolinke,950,2015-11-27T03:09:35Z,Beijing
